Company,Engine,Type,Horsepower,Cylinders,Sparkplugs,Displacement,BlowerType
Rolls-Royce,Merlin,Inline,1400,12,24,1650,Super
Pratt-Whitney,R-2800,Radial,2000,18,36,2800,Super
Allison,V-1710,Inline,1500,12,24,1700,Super
Wright,R-1820,Radial,1000,9,9,1820,Super
